Entities,neg,pos,neu,Count,Category
South Africa,1,0,5,13,LOCATION
Elize Kruger,0,0,2,4,PERSON
Vuyani Ndaba,0,0,2,2,PERSON
JOHANNESBURG,0,0,5,6,LOCATION
Mike Hutchings,0,2,0,2,PERSON
U.S.,16,14,17,100,LOCATION
Mumal Rathore,0,0,3,3,PERSON
Sarmista Sen,0,0,3,3,PERSON
London Stock Exchange,1,0,1,2,ORGANIZATION
FTSE 100,2,0,2,6,ORGANIZATION
Paul Maringa,1,0,0,5,PERSON
Kenya,1,0,0,4,LOCATION
NAIROBI,1,0,0,2,LOCATION
FlySax,1,0,0,2,ORGANIZATION
Aberdare Range,1,0,0,2,LOCATION
Stringer,0,0,2,2,PERSON
Jomo Kenyatta International Airport,0,0,1,1,LOCATION
Kitale,0,0,1,1,LOCATION
Uhuru Kenyatta,0,1,1,2,PERSON
Kenya Airways,0,0,1,1,ORGANIZATION
Carlos Mureithi,0,0,1,1,PERSON
Duncan Miriri,0,0,1,1,PERSON
Matthew Mpoke,0,0,2,2,PERSON
Charlene Bost,0,0,1,20,PERSON
Wal-Mart Stores Inc ( WMT.N,0,1,0,9,ORGANIZATION
North Carolina,1,0,0,4,LOCATION
Daniel Wiessner,1,0,0,2,PERSON
Sam’s Club,0,1,0,2,ORGANIZATION
"Monterrey, Mexico",0,0,1,1,LOCATION
Daniel Becerril,0,0,1,1,PERSON
Arkansas,0,0,1,1,LOCATION
Greensboro,0,0,1,1,LOCATION
Randy Hargrove,1,0,0,1,PERSON
Transgender Legal Defense and Education Fund,0,0,1,1,ORGANIZATION
Kannapolis,0,0,1,1,LOCATION
Title VII,0,0,1,1,PERSON
TLDEF,1,0,0,1,ORGANIZATION
Sam’s East Inc,0,0,1,1,ORGANIZATION
U.S. District Court,0,0,1,1,ORGANIZATION
"Albany, New York",0,0,1,1,LOCATION
Alexia Garamfalvi,0,0,1,1,PERSON
Leslie Adler,0,1,11,12,PERSON
G7 finance ministers,1,0,0,10,ORGANIZATION
REUTERS,1,2,4,79,ORGANIZATION
Canada,3,3,6,26,LOCATION
Ben Nelms,1,0,0,4,PERSON
Justin Trudeau,1,0,1,7,PERSON
West,2,1,1,12,LOCATION
Peter Apps,0,0,1,2,PERSON
Quebec,0,1,1,3,LOCATION
Japan,3,0,3,12,LOCATION
G8,0,0,1,1,ORGANIZATION
Manoir Richelieu,0,0,1,1,PERSON
Charlevoix,0,0,2,2,LOCATION
Chris Wattie,0,0,1,1,PERSON
Crimea,0,0,2,6,LOCATION
Mexico,4,0,5,12,LOCATION
G20,0,0,1,1,ORGANIZATION
Emmanuel Macron,0,0,3,3,PERSON
Angela Merkel,0,3,0,4,PERSON
Shinzo Abe,0,0,1,1,PERSON
"Whistler, British Columbia, Canada",0,0,1,1,LOCATION
British Army Reserve,0,0,1,1,ORGANIZATION
UK Labour Party,0,0,1,1,ORGANIZATION
ZTE Corp,0,2,0,22,ORGANIZATION
Congress,2,3,0,20,ORGANIZATION
Republican Party,2,0,0,10,ORGANIZATION
Democratic,0,3,0,10,ORGANIZATION
Patricia Zengerle,0,2,0,4,PERSON
Senate,2,3,0,7,ORGANIZATION
Chuck Schumer,2,0,0,4,PERSON
White House,6,3,0,22,ORGANIZATION
U.S. Congress,3,2,0,5,ORGANIZATION
WASHINGTON,2,4,7,23,LOCATION
Carlo Allegri,2,0,0,2,PERSON
Iran,5,2,7,36,LOCATION
North Korea,3,1,7,37,LOCATION
Commerce Department,0,0,2,2,ORGANIZATION
National Defense Authorization,0,2,0,2,ORGANIZATION
NDAA,0,0,2,2,ORGANIZATION
U.S. Constitution,0,0,2,2,ORGANIZATION
House of Representatives,0,2,0,2,ORGANIZATION
House Homeland Security Committee,0,0,2,2,ORGANIZATION
Department of Homeland Security,2,0,2,4,ORGANIZATION
Mike McCaul,2,0,0,2,PERSON
Hill,0,2,0,2,ORGANIZATION
Chris Sanders,0,0,2,2,PERSON
Phil Berlowitz,0,0,2,2,PERSON
David Drumm,1,0,0,12,PERSON
Anglo Irish Bank,1,0,0,3,ORGANIZATION
Irish Life and Permanent,1,0,0,3,ORGANIZATION
Graham Fahy,0,0,1,1,PERSON
DUBLIN,0,0,1,1,LOCATION
Gerard Walsh,0,0,1,1,PERSON
Boston,0,1,5,6,LOCATION
Denis Casey,0,0,1,1,PERSON
Willie McAteer,0,0,1,1,PERSON
John Bowe,0,0,1,1,PERSON
David Evans,1,1,1,3,PERSON
Toby Chopra,0,2,1,3,PERSON
U.S. Supreme Court,1,0,0,2,ORGANIZATION
U.S. Circuit Court of Appeals,0,0,2,3,ORGANIZATION
Robert Iafolla,1,0,0,1,PERSON
Pennsylvania,2,1,1,4,LOCATION
Progressive Business Publications,1,0,0,1,ORGANIZATION
Fair Labor Standards Act,1,0,0,1,ORGANIZATION
WestlawNext Practitioner Insights,1,0,1,2,ORGANIZATION
Canadian Pacific Railway Ltd,0,0,3,24,ORGANIZATION
Chris Monette,3,0,0,9,PERSON
Allison Lampert,0,1,2,6,PERSON
MONTREAL,0,0,3,3,LOCATION
Teamsters,3,0,0,3,ORGANIZATION
"Canmore, Alberta",2,0,0,2,LOCATION
Todd Korol,0,0,2,2,PERSON
Teamsters Canada,0,0,3,3,ORGANIZATION
Jeremy Berry,3,0,0,3,PERSON
Canadian National Railway Co,3,0,0,3,ORGANIZATION
North America,3,1,1,7,LOCATION
Marguerita Choy,0,0,5,5,PERSON
Matthew Lewis,0,2,3,5,PERSON
"Zuffenhausen, Germany",0,0,1,6,LOCATION
euro zone,2,1,0,10,ORGANIZATION
Thomas Gitzel,1,1,0,5,PERSON
Michael Nienaber,1,0,1,3,PERSON
BERLIN,1,0,0,2,LOCATION
Federal Statistics Office,0,0,1,1,ORGANIZATION
VP Bank,1,1,0,2,ORGANIZATION
Peter Altmaier,1,0,0,1,PERSON
DIHK,1,0,1,2,ORGANIZATION
Sophia Krietenbrink,2,0,0,2,PERSON
VDMA,0,0,2,2,ORGANIZATION
Commerzbank,0,1,3,5,ORGANIZATION
Ralph Solveen,1,0,1,2,PERSON
Stuttgart,0,1,0,1,LOCATION
Ralph Orlowski,0,0,1,1,PERSON
Gernot Heller,0,0,1,1,PERSON
Thomas Escritt,0,0,1,1,PERSON
Houthis,0,0,2,18,ORGANIZATION
Yemen,0,1,1,12,LOCATION
Martin Griffiths,1,1,0,9,PERSON
Sanaa airport,1,0,0,4,LOCATION
United Arab Emirates,0,0,3,9,LOCATION
Saudi Arabia,1,2,1,7,LOCATION
Houthi Military Media Unit,0,1,0,2,ORGANIZATION
Warren Strobel,0,2,0,2,PERSON
Yara Bayoumy,0,1,1,2,PERSON
Phil Stewart,0,0,2,2,PERSON
Abd-Rabbu Mansour Hadi,0,2,0,2,PERSON
Tehran,3,0,0,11,LOCATION
Anwar Gargash,1,0,1,2,PERSON
Abu Dhabi,0,2,2,4,LOCATION
The National,0,0,2,2,ORGANIZATION
Red Sea,0,0,2,2,LOCATION
Hodeidah,0,1,1,4,LOCATION
Middle East,4,0,0,4,LOCATION
Khaled Abdullah,0,1,0,1,PERSON
Kuwait,1,0,2,3,LOCATION
Jonathan Landay,0,0,2,2,PERSON
Rodrigo Campos,0,0,2,2,PERSON
Aziz El Yaakoubi,0,0,1,1,PERSON
Sarah Dadouch,0,0,1,1,PERSON
Alistair Bell,0,0,2,2,PERSON
John Stonestreet,0,0,7,7,PERSON
Jaana Remes,0,1,0,4,PERSON
Thomson Reuters Foundation,2,1,1,12,ORGANIZATION
Isabelle Gerretsen,0,1,0,2,PERSON
McKinsey Global Institute,0,1,0,2,ORGANIZATION
Latin America,0,0,1,1,LOCATION
Rio de Janeiro,0,0,1,1,LOCATION
Remote patient monitoring,0,0,1,1,ORGANIZATION
Singapore,0,0,6,11,LOCATION
Tokyo,0,1,1,2,LOCATION
Ellen Wulfhorst,0,2,0,3,PERSON
Thomson Reuters,0,4,2,6,ORGANIZATION
Democratic House,0,0,1,11,ORGANIZATION
Republican,2,1,3,19,ORGANIZATION
Jennifer Lawless,1,0,0,4,PERSON
House,0,1,0,4,ORGANIZATION
"Sherril, Iowa",0,0,1,3,LOCATION
Joseph Ax,0,0,1,2,PERSON
Abby Finkenauer,0,1,1,3,PERSON
Tim Reid,1,0,0,2,PERSON
U.S. House of Representatives,0,1,0,2,LOCATION
Kelly Dittmar,1,0,0,2,PERSON
California,1,1,1,15,LOCATION
Mikie Sherrill,0,0,1,2,PERSON
Rod Blum,0,0,1,1,PERSON
Iowa's 1st congressional district,0,0,1,1,LOCATION
Women & Politics Institute,1,0,0,1,ORGANIZATION
American University,0,0,1,1,ORGANIZATION
"Washington, D.C.",0,0,1,1,LOCATION
Center for American Women and Politics,0,0,1,1,ORGANIZATION
Rutgers University,0,0,1,1,ORGANIZATION
Navy,0,1,0,1,ORGANIZATION
New Jersey,0,1,0,1,LOCATION
Trump,0,2,3,9,ORGANIZATION
Cindy Axne,0,0,1,1,PERSON
New Mexico,0,1,0,1,LOCATION
Deb Haaland,0,1,0,1,PERSON
Montana,0,0,1,1,LOCATION
Kathleen Williams,0,0,1,1,PERSON
November race,0,0,1,1,ORGANIZATION
Katie Porter,0,0,1,1,PERSON
Mimi Walters,0,0,1,1,PERSON
Katie Hill,0,0,1,1,PERSON
Steve Knight,0,1,0,1,PERSON
South Dakota,1,0,0,1,LOCATION
Alabama,1,0,0,1,LOCATION
New York,2,5,4,12,LOCATION
Rosalba O'Brien,0,1,2,3,PERSON
Norway,0,1,1,4,LOCATION
Google,0,2,0,3,ORGANIZATION
OSLO,1,1,2,4,ORGANIZATION
Alphabet Inc,0,2,0,2,ORGANIZATION
Las Vegas Convention Center,0,0,1,1,LOCATION
"Las Vegas, Nevada",0,0,1,1,LOCATION
Steve Marcus,0,0,1,1,PERSON
Silicon Valley,2,0,0,2,LOCATION
Norges Bank Investment Management,2,0,0,2,ORGANIZATION
Facebook,3,0,0,3,ORGANIZATION
Tesla,2,0,1,6,ORGANIZATION
Elon Musk,2,0,0,2,PERSON
Terje Solsvik,0,0,2,2,PERSON
Gwladys Fouche,0,0,2,2,PERSON
Polaris,0,1,0,8,ORGANIZATION
U.S. government,2,0,0,4,ORGANIZATION
U.S. Departments of State,1,0,0,2,ORGANIZATION
Bradley Myles,1,0,0,2,PERSON
Christopher Willett,1,0,0,2,PERSON
NEW YORK,3,5,2,18,LOCATION
