Entities,neg,pos,neu,Count,Category
Abdel Fattah al-Sisi,1,0,0,1,PERSON
Islamic revolution,1,0,0,1,LOCATION
Islamic State,1,0,0,1,ORGANIZATION
Khalid Abdel-Hadi,0,1,0,1,PERSON
My.Kali,0,1,0,1,ORGANIZATION
Beirut,1,0,0,1,LOCATION
United Nations,1,0,0,1,ORGANIZATION
United Malays National Organisation,1,0,0,11,ORGANIZATION
Mahathir Mohamad,1,0,0,7,PERSON
Najib Razak,1,0,0,6,PERSON
Malaysia,1,0,0,5,LOCATION
PH,0,1,1,5,LOCATION
Parti Keadilan Rakyat,0,1,0,3,ORGANIZATION
Anwar Ibrahim,0,1,0,3,PERSON
Nurul Izzah,0,1,0,3,PERSON
Malaysian politics,0,1,0,2,ORGANIZATION
Democratic Action Party,0,1,0,2,ORGANIZATION
Pakatan Harapan,0,0,1,1,LOCATION
Malaysian Chinese Association,0,0,1,1,ORGANIZATION
Malaysian Indian Congress,0,0,1,1,ORGANIZATION
PAS,1,0,0,1,ORGANIZATION
Saddiq Abdul Rahman,0,1,0,1,PERSON
Lim Guan Eng,0,0,1,1,PERSON
Azizah Ismail,0,0,1,1,PERSON
Kuala Lumpur,1,0,0,1,LOCATION
Khairy Jamaluddin,0,1,0,1,PERSON
Ely Calil,0,0,2,34,PERSON
Africa,4,0,4,14,LOCATION
Harper,2,0,0,6,PERSON
Nigel Morgan,2,0,0,6,PERSON
Sani Abacha,2,0,0,4,PERSON
Paris,2,4,2,13,LOCATION
Dan Gertler,0,2,0,4,PERSON
Wonga,0,2,0,4,ORGANIZATION
Equatorial Guinea,0,0,2,4,LOCATION
London,5,5,2,29,LOCATION
Ibrahim Babangida,2,0,0,2,PERSON
Foreign Corrupt Practices Act,2,0,0,2,ORGANIZATION
Democratic Republic of Congo,0,2,0,2,LOCATION
American Treasury,0,2,0,2,ORGANIZATION
Joseph Kabila,0,0,2,2,PERSON
Etonian,2,0,0,2,ORGANIZATION
Simon Mann,0,2,0,2,PERSON
Severo Moto,0,2,0,2,PERSON
South Africa,3,0,0,3,LOCATION
Matteo Salvini,1,0,0,18,PERSON
Italy,5,1,3,38,LOCATION
Giuseppe Conte,0,0,2,6,PERSON
Soumaila Sacko,1,0,0,4,PERSON
Five Star Movement,0,2,1,5,ORGANIZATION
Libya,1,1,0,4,LOCATION
Tunisia,0,1,0,2,LOCATION
Rome,0,1,0,2,LOCATION
Calabria,0,0,1,1,LOCATION
lower house,0,1,3,4,ORGANIZATION
Chamber of Deputies,0,0,1,1,ORGANIZATION
Northern League,2,1,0,3,ORGANIZATION
League,0,1,0,1,ORGANIZATION
Lampedusa,0,1,0,1,LOCATION
Tunis,0,1,0,1,LOCATION
UN,1,1,0,6,ORGANIZATION
parliament,2,1,3,8,ORGANIZATION
Luxembourg,1,0,0,1,LOCATION
Hungary,0,2,4,7,LOCATION
Viktor Orban,1,0,0,1,PERSON
eastern Europe,2,0,1,3,LOCATION
Austria,0,1,0,1,LOCATION
Herbert Kickl,0,1,0,1,PERSON
Freedom Party,0,1,0,1,ORGANIZATION
Germany,1,0,5,17,LOCATION
Angela Merkel,2,1,1,28,PERSON
Muammar Qaddafi,2,0,0,2,PERSON
Hani Mulki,1,0,0,6,PERSON
King Abdullah,1,0,0,4,PERSON
IMF,2,1,0,14,ORGANIZATION
Gulf,1,2,1,9,LOCATION
Saudi Arabia,2,0,2,7,LOCATION
Arab Spring,0,0,1,1,LOCATION
Yemen,1,1,0,3,LOCATION
Qatar,2,0,0,2,LOCATION
Amman,1,0,0,1,LOCATION
National Aid Fund,1,0,0,1,ORGANIZATION
Omar al-Razzaz,0,0,1,1,PERSON
World Bank,0,0,1,1,ORGANIZATION
Islamic Action Front,1,0,0,1,ORGANIZATION
Muslim Brotherhood,0,0,1,1,ORGANIZATION
Houthis,0,0,1,6,ORGANIZATION
Hodeida,0,0,1,5,LOCATION
United Arab Emirates,1,1,0,5,LOCATION
Ali Abdullah Saleh,1,0,0,2,PERSON
Martin Griffiths,0,1,0,2,PERSON
Muhammad bin Salman,1,0,2,15,PERSON
Sana’a,0,0,1,1,LOCATION
Salafist,0,0,1,1,ORGANIZATION
Tihama,0,1,0,1,LOCATION
Saleh al-Sammad,1,0,0,1,PERSON
Geraldo Alckmin,0,1,0,11,PERSON
Jair Bolsonaro,0,1,0,7,PERSON
"São Paulo, Brazil",0,0,1,4,LOCATION
Brazil,0,1,1,6,LOCATION
Michel Temer,1,0,0,4,PERSON
Petrobras,1,0,0,3,ORGANIZATION
Fabio Malini,1,0,0,3,PERSON
Party of Brazilian Social Democracy,0,1,0,3,ORGANIZATION
Facebook,1,3,1,6,ORGANIZATION
Luiz Inácio Lula da Silva,0,1,0,2,PERSON
Ciro Gomes,1,0,0,2,PERSON
Avenida Paulista,0,1,0,1,ORGANIZATION
Croatia,2,0,0,2,LOCATION
Pedro Parente,1,0,0,1,PERSON
Pablo Ortellado,0,0,1,1,PERSON
University of São Paulo,0,0,1,1,ORGANIZATION
Datafolha,0,1,0,1,ORGANIZATION
Celso Rogerio Gomez das Neves,1,0,0,1,PERSON
Federal University of Espírito Santo,0,1,0,1,ORGANIZATION
WhatsApp,0,1,0,1,ORGANIZATION
Social Liberal Party,0,0,1,1,ORGANIZATION
tweeted,1,1,0,2,ORGANIZATION
cabinet,2,0,3,13,ORGANIZATION
Jesus,1,0,0,1,PERSON
IPSOS,0,0,1,1,ORGANIZATION
Cláudio Couto,1,0,0,1,PERSON
Rodrigo Duterte,0,1,0,1,PERSON
Philippines,0,1,0,1,LOCATION
Luiz Felipe d’Avila,0,1,0,1,PERSON
Americas,0,0,4,4,LOCATION
Minot,0,0,1,7,LOCATION
North Dakota,1,1,0,3,LOCATION
"Winnipeg, Manitoba",0,0,1,2,LOCATION
Bakken,0,0,1,1,LOCATION
Tom Barry,0,1,0,1,PERSON
Souris river,1,0,0,1,LOCATION
Thomas Schmidt,0,0,1,1,PERSON
Western world,0,1,0,1,LOCATION
Chuck Barney,1,0,0,1,PERSON
Michael Sasser,0,0,1,1,PERSON
Minot Daily News,1,0,0,1,ORGANIZATION
Chinatown,0,0,1,1,LOCATION
Josh Wolsky,0,0,1,1,PERSON
GITA,0,1,0,8,ORGANIZATION
Pipeline & Gas Journal,0,1,0,4,ORGANIZATION
Pipeline Technology Forum,0,0,1,4,ORGANIZATION
Gulf Energy Information,0,1,0,2,ORGANIZATION
Mark Limbruner,0,1,0,2,PERSON
Geospatial Information and Technology Association,0,0,1,1,ORGANIZATION
Geospatial Information and Technology Association (GITA,0,0,1,1,ORGANIZATION
GITA Oil and Gas Pipeline Conference,0,0,1,1,ORGANIZATION
Hyatt Regency Hotel,0,0,1,1,LOCATION
Houston,0,0,1,1,LOCATION
Brian Nessen,0,0,1,1,PERSON
Group Publisher for Pipeline & Gas Journal,0,1,0,1,ORGANIZATION
Underground Construction,0,1,0,1,ORGANIZATION
Sara Elder,0,0,1,3,PERSON
International Labour Organisation,0,0,1,3,ORGANIZATION
Ghose,0,1,0,3,PERSON
Bangkok,1,0,0,2,LOCATION
Indonesia,1,0,0,2,LOCATION
Beijing,2,1,1,7,LOCATION
Thailand,1,1,0,2,LOCATION
Chulalongkorn University,0,0,1,1,ORGANIZATION
Annan Chanthan,0,0,1,1,PERSON
Hua Lamphong,0,0,1,1,PERSON
Liberia,1,0,0,1,LOCATION
Laos,1,0,0,1,LOCATION
Cambridge University,0,0,1,1,ORGANIZATION
Cambridge,1,0,0,1,LOCATION
Daniel Ortega,0,0,1,35,PERSON
Nicaragua,1,0,0,4,LOCATION
Nicolás Maduro,1,0,0,3,PERSON
Managua,1,0,0,2,LOCATION
Rosario Murillo,0,1,0,2,PERSON
Sandinistas,1,0,0,2,ORGANIZATION
Venezuela,2,0,1,4,LOCATION
Masaya,1,0,0,1,LOCATION
Inter-American Commission on Human Rights,1,0,0,1,ORGANIZATION
José Adán Aguerri,0,0,1,1,PERSON
Cosep,0,0,1,1,ORGANIZATION
Carlos Pellas,1,0,0,1,PERSON
Mateo Jarquín,0,0,1,1,PERSON
national assembly,1,0,0,1,ORGANIZATION
Juan Sebastián Chamorro,1,0,0,1,PERSON
Mother,1,0,0,1,ORGANIZATION
AI,1,2,0,46,ORGANIZATION
Chris Mansi,1,0,0,8,PERSON
Mansi,1,0,0,2,LOCATION
Stanford University,1,0,0,2,ORGANIZATION
Oxford University,0,0,1,2,ORGANIZATION
ECG,0,1,0,2,ORGANIZATION
Eric Topol,0,1,0,2,PERSON
Erlanger Health System,0,1,0,1,ORGANIZATION
Tennessee,1,0,0,1,LOCATION
Tom Devlin,0,1,0,1,PERSON
Erlanger,1,0,0,1,ORGANIZATION
thrombectomy,0,0,1,1,ORGANIZATION
Andre Esteva,0,0,1,1,PERSON
Holger Haenssle,0,1,0,1,PERSON
University of Heidelberg,0,1,0,1,ORGANIZATION
Kheiron Medical Technologies,1,0,0,1,ORGANIZATION
Kheiron,0,1,0,1,ORGANIZATION
DeepMind,0,0,1,1,ORGANIZATION
Google,2,1,1,5,ORGANIZATION
Andrew Ng,0,1,1,2,PERSON
Apple,1,2,1,7,ORGANIZATION
Scripps Research Institute,0,0,1,1,ORGANIZATION
San Diego,0,0,1,1,LOCATION
Tank Man,0,0,2,10,ORGANIZATION
Berlin,2,2,0,5,LOCATION
Washington,0,1,3,5,LOCATION
Hong Kong,0,2,3,6,LOCATION
Sydney,1,2,1,4,LOCATION
Wellington,0,2,0,2,LOCATION
Toronto,1,2,0,3,LOCATION
Winnie the Pooh,0,2,0,2,PERSON
Pooh Bear,0,2,0,2,ORGANIZATION
Tank Woman,0,2,0,2,ORGANIZATION
Yue Xin,0,2,0,2,PERSON
Jade Dussart,0,2,0,2,PERSON
Action by Christians for the Abolition of Torture,0,2,0,2,ORGANIZATION
Trocadéro Square,2,0,0,2,LOCATION
Zhou,0,2,0,2,PERSON
Tsinghua University,0,2,0,2,ORGANIZATION
SNB,0,0,1,5,ORGANIZATION
Swiss National Bank,0,0,1,1,ORGANIZATION
Daniel Kalt,0,1,0,1,PERSON
UBS,0,0,2,2,ORGANIZATION
Lehman Brothers,0,0,1,1,ORGANIZATION
Thomas Jordan,1,0,0,1,PERSON
Xiaomi,0,0,1,20,ORGANIZATION
Lei Jun,0,0,1,7,PERSON
IPO,0,0,1,7,ORGANIZATION
Steve Jobs,1,0,0,5,PERSON
Alibaba,1,1,2,6,ORGANIZATION
Samsung,1,0,0,2,ORGANIZATION
Sony,1,0,0,2,ORGANIZATION
Nokia,1,0,0,2,ORGANIZATION
BAT,0,1,0,2,ORGANIZATION
Baidu,0,0,1,2,ORGANIZATION
Tencent,0,1,0,2,ORGANIZATION
Wuhan,0,0,1,1,LOCATION
Yangtze River,0,0,1,1,LOCATION
Costco,0,1,0,1,ORGANIZATION
Schumpeter,0,1,0,1,PERSON
Edward Tse,0,0,1,1,PERSON
Gao Feng,0,0,1,1,PERSON
Charles Darwin,0,1,0,1,PERSON
Cayman Islands,1,0,1,5,LOCATION
Uttar Pradesh,0,0,1,1,LOCATION
mindshare,0,1,0,1,ORGANIZATION
Didi-Chuxing,0,0,1,1,PERSON
Meituan-Dianping,0,0,1,1,PERSON
White House,0,1,0,2,ORGANIZATION
G7,1,1,1,4,ORGANIZATION
Pennsylvania,0,1,0,1,LOCATION
Florida,0,1,0,1,LOCATION
Euro Stoxx 50,1,0,0,2,ORGANIZATION
Eric Lonergan,0,1,0,2,PERSON
George Costanza,1,0,0,2,PERSON
Deutsche Bank,0,0,1,1,ORGANIZATION
S&P 500,1,0,1,2,ORGANIZATION
Patience,1,0,0,1,PERSON
M&G,0,0,1,1,ORGANIZATION
euro zone,4,0,0,8,ORGANIZATION
Mariano Rajoy,0,1,3,48,PERSON
Spain,2,1,1,32,LOCATION
Pedro Sánchez,2,1,1,37,PERSON
Catalonia,1,2,0,7,LOCATION
Socialists,1,0,2,5,ORGANIZATION
Iberian,0,2,0,2,LOCATION
Madrid,0,2,0,2,LOCATION
People’s Party,4,0,0,4,ORGANIZATION
Emmanuel Macron,3,0,1,14,PERSON
Podemos,1,0,2,3,ORGANIZATION
Poland,0,0,2,2,LOCATION
David Keith,0,0,1,12,PERSON
Carbon Engineering,1,0,0,8,ORGANIZATION
"Gothenburg, Sweden",0,1,0,2,LOCATION
Oldham,1,0,0,2,LOCATION
Harvard university,0,0,1,1,ORGANIZATION
Bill Gates,0,0,1,1,PERSON
Joule,0,0,1,1,ORGANIZATION
Klaus Lackner,0,1,0,1,PERSON
American Physical Society,0,1,0,1,ORGANIZATION
Steve Oldham,0,1,0,1,PERSON
Food and Drug Administration,1,0,0,6,ORGANIZATION
Goldwater Institute,1,0,0,3,ORGANIZATION
Arthur Caplan,0,0,1,3,PERSON
Coleman,0,0,1,3,PERSON
Oval Office,0,1,0,1,ORGANIZATION
Arizona,1,0,0,1,LOCATION
NYU School of Medicine,0,0,1,1,ORGANIZATION
Charles Koch,0,1,0,7,PERSON
David Axelrod,0,1,0,6,PERSON
Scott Walker,0,1,0,5,PERSON
Kochs,0,1,1,7,ORGANIZATION
Koch brothers,1,0,0,3,ORGANIZATION
George Soros,0,1,0,3,PERSON
Koch Industries,0,1,0,3,ORGANIZATION
AFP,0,1,0,3,ORGANIZATION
Wichita,0,0,1,2,LOCATION
Freedom Partners,0,1,0,2,ORGANIZATION
Tea Party,0,1,0,2,ORGANIZATION
Kansas,0,0,1,1,LOCATION
Atlantic,1,2,0,4,LOCATION
Libertarian Party,1,0,0,1,ORGANIZATION
Republican,0,1,0,1,ORGANIZATION
Cato Institute,1,0,0,1,ORGANIZATION
Americans for Prosperity,0,1,0,1,ORGANIZATION
Hugo Chávez,1,0,0,1,PERSON
Greenpeace,1,0,0,1,ORGANIZATION
New Yorker,1,0,0,1,ORGANIZATION
Washington Post,0,0,1,1,ORGANIZATION
Daniel Schulman,1,0,0,1,PERSON
Sons of Wichita,0,0,1,1,ORGANIZATION
Grover Norquist,0,1,0,1,PERSON
Americans for Tax Reform,0,1,0,1,ORGANIZATION
Heidi Heitkamp,0,0,1,1,PERSON
Democrats,0,2,0,3,ORGANIZATION
Dodd-Frank,0,1,0,1,ORGANIZATION
Charles Koch Institute,1,0,0,1,ORGANIZATION
Cory Booker,0,0,1,1,PERSON
Bernie Sanders,0,1,0,42,PERSON
Democratic Party,0,0,1,14,ORGANIZATION
Los Angeles,1,1,0,4,LOCATION
Jacinta,0,0,1,2,PERSON
liberal democracy,0,1,0,2,ORGANIZATION
Vermont,0,0,1,1,LOCATION
Disneyland,0,0,1,1,LOCATION
Earth,0,3,0,3,LOCATION
Black Lives Matter,0,0,1,1,ORGANIZATION
Shaun King,0,1,0,1,PERSON
Twitter,2,2,0,6,ORGANIZATION
New Hampshire,0,1,0,1,LOCATION
Green,0,0,1,1,ORGANIZATION
Bern,1,0,0,1,LOCATION
Robert Mueller,0,1,0,23,PERSON
James Comey,0,1,0,6,PERSON
Richard Nixon,1,0,0,3,PERSON
FBI,1,0,0,2,ORGANIZATION
John Dowd,0,1,0,1,PERSON
Jay Sekulow,0,1,0,1,PERSON
Trumpy,0,1,0,1,PERSON
Communists,0,0,1,1,ORGANIZATION
Mao,1,0,1,2,PERSON
Communist Party,2,0,0,2,ORGANIZATION
Guangzhou,0,0,1,1,LOCATION
Shanghai,1,0,2,3,LOCATION
Ministry of Justice,0,0,1,1,ORGANIZATION
China Notary Association,1,0,0,1,ORGANIZATION
Chinese Will Registration Centre,1,0,0,1,ORGANIZATION
Jeremy Corbyn,1,0,0,7,PERSON
Theresa May,1,0,1,7,PERSON
Labour,1,0,3,8,ORGANIZATION
Commons,0,1,0,3,ORGANIZATION
European Economic Area,1,0,0,3,ORGANIZATION
Brussels,2,1,0,4,LOCATION
Parliament,2,0,0,3,ORGANIZATION
Tory,1,1,0,3,ORGANIZATION
Ireland,0,0,1,2,LOCATION
Norway,2,1,0,5,LOCATION
Westminster,0,1,0,1,LOCATION
Lords,1,0,0,1,ORGANIZATION
EU summit,0,1,0,1,ORGANIZATION
Irish government,0,1,0,1,ORGANIZATION
David Davis,0,1,0,1,PERSON
Dublin,1,0,0,1,LOCATION
Oslo,0,1,0,1,LOCATION
Galileo,1,0,0,16,ORGANIZATION
PRS,0,1,0,3,ORGANIZATION
Bleddyn Bowen,0,1,0,2,PERSON
Galileo satellite,1,0,0,1,ORGANIZATION
GPS,1,0,0,1,LOCATION
European Space Agency,0,0,1,1,ORGANIZATION
Eurocrat,0,0,1,1,LOCATION
Ascension Island,1,0,0,1,LOCATION
Falklands,1,0,0,1,LOCATION
Leicester University,0,1,0,1,ORGANIZATION
Sophia Besch,1,0,0,1,PERSON
European Reform,1,0,0,1,ORGANIZATION
Joschka Fischer,1,0,0,1,PERSON
German foreign minister,1,0,0,1,PERSON
Europol,0,0,1,1,ORGANIZATION
European Court of Justice,1,0,0,1,ORGANIZATION
Wei Guangyi,1,0,0,9,PERSON
Nanjing University,1,0,0,1,ORGANIZATION
Hubei,0,0,1,1,LOCATION
Yunnan,0,0,1,1,LOCATION
Roman Abramovich,0,0,1,7,PERSON
Chelsea,1,0,1,4,LOCATION
Sergei Skripal,1,0,0,2,PERSON
GRU,0,1,0,2,ORGANIZATION
Transparency International,1,0,0,2,ORGANIZATION
STAMFORD,0,0,1,1,LOCATION
England,0,2,1,3,LOCATION
Premier League,0,0,1,1,ORGANIZATION
Israel,0,0,1,1,LOCATION
Katia Nikitina,0,1,0,1,PERSON
Zima,0,1,0,1,PERSON
Linklaters,1,0,0,1,ORGANIZATION
Oleg Deripaska,0,1,0,1,PERSON
Dealogic,0,0,1,1,ORGANIZATION
Boris Berezovsky,1,0,0,1,PERSON
Finland,0,0,1,1,LOCATION
Savills,0,1,0,1,ORGANIZATION
Kensington,0,0,1,1,LOCATION
Independent Schools Council,0,0,1,1,ORGANIZATION
Salisbury,0,0,1,1,LOCATION
KGB,0,1,0,1,ORGANIZATION
Russian military,0,1,0,1,ORGANIZATION
Thameslink,1,0,0,4,ORGANIZATION
Manchester,1,0,0,3,LOCATION
Network Rail,1,0,0,3,ORGANIZATION
Northern Rail,1,0,0,2,ORGANIZATION
Chris Grayling,1,0,0,2,PERSON
Milton Keynes,1,0,0,2,PERSON
Thomas the Tank Engine,0,1,0,1,PERSON
Newcastle,1,0,0,1,LOCATION
Reading,1,0,0,1,LOCATION
Pontefract,1,0,0,1,LOCATION
Lake District,1,0,0,1,LOCATION
Ordsall Chord,0,0,1,1,LOCATION
Northern,1,0,0,1,ORGANIZATION
Anthony Smith,1,0,0,1,PERSON
Transport Focus,1,0,0,1,ORGANIZATION
Carillion,1,0,0,1,ORGANIZATION
Preston,1,0,0,1,PERSON
Christian Wolmar,0,1,0,1,PERSON
Plan B,1,0,0,1,PERSON
Andy Burnham,1,0,0,1,PERSON
Conservative,0,1,0,1,ORGANIZATION
Michael Fallon,0,1,0,1,PERSON
Tories,0,1,0,1,ORGANIZATION
Croydon,1,0,0,1,LOCATION
Jonathan Roberts,0,1,0,1,PERSON
Borehamwood,0,0,1,1,LOCATION
Bernard-Henri Lévy,0,0,1,6,PERSON
BHL,0,0,1,4,ORGANIZATION
BDS,0,1,0,3,ORGANIZATION
Lord Adonis,0,1,0,1,PERSON
BBC,0,0,1,1,ORGANIZATION
Alastair Campbell,0,0,1,1,PERSON
Tony Blair,0,0,1,1,PERSON
Brighton,0,1,0,1,LOCATION
Cadogan Hall,0,1,0,1,LOCATION
Last Exit,0,0,1,1,ORGANIZATION
Sarajevo,1,0,1,2,LOCATION
Salman Rushdie,0,1,0,1,PERSON
Boris Johnson,0,1,0,1,PERSON
Balkans,0,1,0,1,LOCATION
Scotland,1,0,0,7,LOCATION
Scottish government,1,0,0,1,ORGANIZATION
Chris Deerin,0,1,0,1,PERSON
Reform Scotland,0,1,0,1,ORGANIZATION
SNP,1,0,0,1,ORGANIZATION
Scott,0,0,1,1,ORGANIZATION
North Sea,0,0,1,1,LOCATION
Richard Leonard,1,0,0,1,PERSON
Scottish Labour,0,1,0,1,ORGANIZATION
Jean Paul Nsengiyumva,1,0,0,3,PERSON
Commonwealth games,0,1,0,2,ORGANIZATION
Cameroon,1,0,1,4,LOCATION
Peter Dutton,0,1,0,2,PERSON
Sierra Leone,1,0,0,2,LOCATION
Peter Beattie,0,0,1,1,PERSON
