Entities,neg,pos,neu,Count,Category
ACLED,0,1,0,2,ORGANIZATION
Benue,1,0,0,2,LOCATION
MARIS GIDWELL,0,0,1,1,LOCATION
Adamawa state,1,0,0,1,LOCATION
west Africa,0,0,1,1,LOCATION
Sahel,0,0,1,1,LOCATION
Mali,1,0,0,1,LOCATION
Central African Republic,1,0,0,1,LOCATION
Niger Delta,1,0,0,1,LOCATION
Amnesty International,1,0,0,1,ORGANIZATION
Wole Soyinka,0,1,0,1,PERSON
Nobel,1,0,0,1,PERSON
Plateau state,0,1,0,1,LOCATION
Tokyo,1,0,0,8,LOCATION
Nikko,0,1,0,3,ORGANIZATION
Ishigaki,1,0,0,2,LOCATION
Kyoto,0,1,0,2,LOCATION
Osaka,1,0,0,2,LOCATION
TripAdvisor,0,1,0,1,ORGANIZATION
Taiwan,0,1,1,2,LOCATION
Art Hotel,1,0,0,1,LOCATION
Yoshiharu Takamine,1,0,0,1,PERSON
United Kingdom,0,0,1,1,LOCATION
Cambodia,0,0,1,1,LOCATION
Akihiko Tamura,1,0,0,1,PERSON
Kanaya Hotel,1,0,0,1,LOCATION
Yasuo Mine,0,1,0,1,PERSON
Tobu Railway,0,1,0,1,ORGANIZATION
Kenji Aoyagi,1,0,0,1,PERSON
Shizue Usui,0,0,1,1,PERSON
Narita airport,1,0,0,1,LOCATION
Airbnb,1,0,0,1,ORGANIZATION
Tasuku Kuwabara,0,1,0,1,PERSON
McKinsey,0,1,0,1,ORGANIZATION
Hotel Royal Marine Palace,1,0,0,1,ORGANIZATION
Joseph Purti,0,0,1,5,PERSON
Jharkhand,0,1,0,3,LOCATION
PESA,0,0,1,2,ORGANIZATION
AT,0,0,1,1,ORGANIZATION
Birsa Munda,0,0,1,1,PERSON
Maoist,0,0,1,1,ORGANIZATION
Red Corridor,0,0,1,1,LOCATION
Chhattisgarh,0,1,0,1,LOCATION
Odisha,0,1,0,1,LOCATION
PP,1,0,0,5,ORGANIZATION
Josep Borrell,0,1,0,3,PERSON
Socialist,0,0,1,2,ORGANIZATION
Carles Puigdemont,1,0,0,2,PERSON
Nadia Calviño,0,0,1,1,PERSON
European Parliament,0,1,0,1,ORGANIZATION
Socialist party,1,1,0,2,ORGANIZATION
Peugeot,0,1,0,1,ORGANIZATION
Quim Torra,0,0,1,1,PERSON
Catalan counterpart,1,0,0,1,ORGANIZATION
Fan Bingbing,1,0,0,6,PERSON
Khorgos,0,0,1,5,LOCATION
Cui Yongyuan,1,0,0,1,PERSON
Weibo,0,0,1,1,ORGANIZATION
Huayi Brothers,0,0,1,1,ORGANIZATION
Liu Xiaoqing,0,1,0,1,PERSON
Kazakhstan,0,0,1,1,LOCATION
Tibet,1,0,0,1,LOCATION
Tax havens,0,1,0,1,LOCATION
International Monetary Fund,0,0,1,1,ORGANIZATION
Yin,0,0,1,1,PERSON
Air India,0,0,1,7,ORGANIZATION
Indian government,1,0,0,2,ORGANIZATION
Tata,0,1,0,1,ORGANIZATION
Narendra Modi,0,0,1,1,PERSON
ONGC,0,0,1,1,ORGANIZATION
Microsoft,1,0,1,12,ORGANIZATION
GitHub,1,0,0,5,ORGANIZATION
Satya Nadella,1,0,0,4,PERSON
Steve Ballmer,1,0,0,2,PERSON
Amazon,1,1,1,5,ORGANIZATION
Death Star,0,0,1,2,LOCATION
LinkedIn,0,1,0,1,ORGANIZATION
Azure,0,1,0,1,LOCATION
Maan al-Sanea,1,0,0,19,PERSON
AHAB,1,0,0,9,ORGANIZATION
Ahmad Hamad,0,1,0,1,PERSON
Algosaibi & Brothers Company,0,0,1,1,ORGANIZATION
Switzerland,1,0,0,1,LOCATION
Gosaibi,0,1,0,1,PERSON
Money Exchange,0,0,1,1,ORGANIZATION
Saad Group,1,0,0,1,ORGANIZATION
Anthony Smellie,0,0,1,1,PERSON
Cayman,1,0,0,1,LOCATION
Simon Charlton,1,0,0,1,PERSON
JD,0,1,0,13,ORGANIZATION
Zhangwei JD,0,0,1,5,PERSON
Liu Qiangdong,0,0,1,2,PERSON
Suqian,0,0,1,2,LOCATION
Jiang,0,1,0,2,PERSON
Shaanxi,0,0,1,1,LOCATION
Dada,0,1,0,1,PERSON
Zhang Xiaoyan,0,1,0,1,PERSON
Manna,0,1,0,1,PERSON
Intel,0,0,1,5,ORGANIZATION
Andrew Feldman,0,0,1,3,PERSON
New Street,0,1,0,2,LOCATION
Moore,0,1,0,2,PERSON
Nvidia,0,1,0,2,ORGANIZATION
TPUs,0,0,1,2,LOCATION
Bristol,1,0,0,1,ORGANIZATION
ARM,1,0,0,1,ORGANIZATION
OpenAI,0,0,1,1,ORGANIZATION
Nigel Toon,0,0,1,1,PERSON
IPU,0,1,0,1,ORGANIZATION
Street View,0,1,0,1,LOCATION
Nervana Systems,0,1,0,1,ORGANIZATION
Mobileye,0,1,0,1,ORGANIZATION
Gadi Singer,0,0,1,1,PERSON
Pierre Ferragu,0,0,1,1,PERSON
NPU,1,0,0,1,ORGANIZATION
RTR,0,0,1,10,ORGANIZATION
Anushka Salinas,0,1,0,2,PERSON
AT ABOUT,0,0,1,1,ORGANIZATION
Lower Manhattan,0,1,0,1,LOCATION
Chicago,0,0,1,1,LOCATION
San Francisco,1,0,0,1,LOCATION
"Washington, DC.",1,0,1,2,LOCATION
Manhattan,0,0,1,1,LOCATION
Reagan Sims,0,0,1,1,PERSON
Christine Hunsicker,0,0,1,1,PERSON
Gwynnie Bee,1,0,0,1,ORGANIZATION
Ann Taylor,0,1,0,1,PERSON
NY&Co,0,1,0,1,ORGANIZATION
Rakesh Tondon,0,0,1,1,PERSON
Jennifer Hyman,0,0,1,1,PERSON
Zara,0,0,1,1,ORGANIZATION
H&M,0,0,1,1,ORGANIZATION
National Health Service,1,0,0,5,ORGANIZATION
Martin Moore-Bick,0,1,0,2,PERSON
Grenfell Tower,1,0,0,2,LOCATION
John Green,0,1,0,2,PERSON
Allen,1,0,0,2,PERSON
Grenfell United,0,1,0,2,ORGANIZATION
Al-Manaar mosque,1,0,0,2,LOCATION
Grenfell Tower Inquiry,1,0,0,1,LOCATION
Cathy Long,0,0,1,1,PERSON
London School of Economics,0,1,0,1,ORGANIZATION
Alex Diner,1,0,0,1,PERSON
North Kensington Law Centre,0,1,0,1,LOCATION
Portobello Business Centre,0,1,0,1,ORGANIZATION
Natasha Elcock,0,1,0,1,PERSON
Aberfan,1,0,0,1,LOCATION
Christchurch,0,0,1,1,LOCATION
New Zealand,0,0,1,1,LOCATION
Lydia Giblin,0,1,0,1,PERSON
Abdurahman Sayed,0,1,0,1,PERSON
Mike Long,0,0,1,1,PERSON
Notting Hill Methodist Church,1,0,0,1,ORGANIZATION
Gary Becker,1,0,0,5,PERSON
Gallup,1,0,0,1,ORGANIZATION
Gini,1,0,0,1,ORGANIZATION
Daniel Hicks,0,0,1,1,PERSON
University of Oklahoma,0,0,1,1,ORGANIZATION
Joan Hamory Hicks,0,0,1,1,PERSON
University of California,0,0,1,1,ORGANIZATION
Berkeley,0,0,1,1,LOCATION
Guatemala,1,0,0,3,LOCATION
Guatemala City,0,1,0,1,LOCATION
Jimmy Morales,1,0,0,1,PERSON
Vatican,0,1,0,4,LOCATION
Pope Francis,0,1,0,2,PERSON
Patriarch Bartholomew,0,1,0,2,PERSON
Middle Ages,1,0,0,1,LOCATION
Notre Dame,0,1,0,1,ORGANIZATION
Jeffrey Sachs,1,0,0,1,ORGANIZATION
Earth Institute,0,1,0,1,ORGANIZATION
Mr Sachs,0,0,1,1,ORGANIZATION
Spetses,0,1,0,1,LOCATION
Aristotle,0,0,1,1,ORGANIZATION
Jerusalem temple,1,0,0,1,LOCATION
Jesus Christ,1,0,0,1,PERSON
Patmos,0,0,1,1,ORGANIZATION
Mauricio Macri,0,0,2,16,PERSON
Argentina,2,0,1,20,LOCATION
Argentines,2,0,0,6,ORGANIZATION
Alberto Ramos,1,0,0,2,PERSON
Treasury,0,0,1,1,ORGANIZATION
Nicolás Dujovne,1,0,0,1,PERSON
Goldman Sachs,0,1,0,1,ORGANIZATION
Cristina Fernández de Kirchner,0,0,1,1,PERSON
Karl Hyde,0,0,1,5,PERSON
Lyric Hammersmith,1,0,0,2,LOCATION
Harvey Weinstein,1,0,0,2,PERSON
Simon Stephens,1,0,0,2,PERSON
Scott Graham,1,0,0,2,PERSON
Kidderminster,0,1,0,2,LOCATION
Underworld,0,1,0,1,ORGANIZATION
Frantic Assembly,0,1,0,1,ORGANIZATION
Stockport,1,0,0,1,ORGANIZATION
Corby,0,0,1,1,LOCATION
Steven Seagal,0,1,0,1,PERSON
Neil McCaul,0,0,1,1,PERSON
Declan Bennett,1,0,0,1,PERSON
Nyasha Hatendi,1,0,0,1,PERSON
Bosnia,1,0,0,7,LOCATION
Serbia,1,0,0,4,LOCATION
Albania,0,0,1,2,LOCATION
Montenegro,1,0,0,2,LOCATION
Republika Srpska,0,0,1,2,ORGANIZATION
Balkan,0,0,1,1,LOCATION
Peter Van der Auweraert,0,0,1,1,PERSON
International Organisation for Migration,0,0,1,1,ORGANIZATION
Greece,1,0,0,1,LOCATION
Yugoslavia,0,1,0,1,LOCATION
Serbia and Montenegro,0,1,0,1,LOCATION
Croat Federation,0,0,1,1,ORGANIZATION
Milorad Dodik,0,0,1,1,PERSON
Après Macron,0,1,0,3,PERSON
Sorbonne,1,0,0,1,ORGANIZATION
Frankfurter Allgemeine Sonntagszeitung,0,1,0,1,ORGANIZATION
Jan Techau,1,0,0,1,PERSON
German Marshall Fund,0,1,0,1,ORGANIZATION
NATO,2,0,0,2,ORGANIZATION
Christian Democratic Union,0,1,0,1,ORGANIZATION
Social Democrats,1,1,0,2,ORGANIZATION
European Central Bank,1,0,0,1,ORGANIZATION
Recep Tayyip Erdogan,0,0,1,18,PERSON
HDP,0,1,0,8,ORGANIZATION
Nusaybin,1,0,0,5,LOCATION
Kurdistan Workers’ Party,1,0,0,5,ORGANIZATION
Selahattin Demirtas,0,0,1,5,PERSON
Muharrem Ince,1,0,0,5,PERSON
Republican People’s Party,0,0,1,3,ORGANIZATION
AK,0,0,1,2,ORGANIZATION
Justice and Development,0,1,0,1,ORGANIZATION
Peoples’ Democratic Party,0,0,1,1,ORGANIZATION
Vahap Coskun,1,0,0,1,PERSON
Dicle University,1,0,0,1,ORGANIZATION
Diyarbakir,1,0,0,1,LOCATION
Zehra Dogan,1,0,0,1,PERSON
Gonul Tol,1,0,0,1,PERSON
Middle East Institute,1,0,0,1,ORGANIZATION
Nationalists,1,0,0,1,ORGANIZATION
Ferhat Kut,0,0,1,1,PERSON
Anderijn Peeters,1,0,0,4,PERSON
Frans Vera,1,0,0,3,PERSON
Netherlands,0,1,0,3,LOCATION
Amsterdam,0,0,1,1,LOCATION
Oostvaardersplassen,0,0,1,1,ORGANIZATION
Serengeti,0,1,0,1,LOCATION
Party for the Animals,1,0,0,1,ORGANIZATION
Joke Bijl,0,0,1,1,PERSON
Mumbai,0,1,0,4,LOCATION
FTSE 100,0,0,1,1,ORGANIZATION
ICE,1,0,0,1,ORGANIZATION
NYMEX,1,0,0,1,ORGANIZATION
MSCI,1,0,0,1,ORGANIZATION
Abiy Ahmed,0,0,1,23,PERSON
Ethiopia,1,0,0,6,LOCATION
Ethiopian People’s Revolutionary Democratic Front,0,0,1,4,ORGANIZATION
Eritrea,0,0,1,3,LOCATION
Meles Zenawi,1,0,0,2,PERSON
politburo,0,1,0,2,ORGANIZATION
Hailemariam Desalegn,0,1,0,1,PERSON
Oromia,1,0,0,1,LOCATION
Addis Ababa,1,0,0,1,LOCATION
Andargachew Tsige,1,0,0,1,PERSON
Public debt,1,0,0,1,ORGANIZATION
Solomon Mulugeta,0,0,1,1,LOCATION
Getachew Teklemariam,0,1,0,1,PERSON
SCL Group,0,0,1,2,ORGANIZATION
Shura council,0,0,1,1,LOCATION
Cambridge Analytica,0,0,1,1,LOCATION
WHEN Li Songtang,1,0,0,8,PERSON
Zhang Li,1,0,0,3,PERSON
Inner Mongolia,1,0,0,1,LOCATION
Zhang Zhen’e,0,0,1,1,PERSON
Economist Intelligence Unit,0,1,0,1,ORGANIZATION
Wang Ying of Hand,0,1,0,1,PERSON
Luo Jilan,0,0,1,1,PERSON
China Life Care Association,0,0,1,1,ORGANIZATION
Living Will Promotion Association,1,0,0,1,ORGANIZATION
Shi Baoxin,1,0,0,1,PERSON
Tianjin,1,0,0,1,LOCATION
María Florencia Alcaraz,1,0,0,14,PERSON
Latin America,2,0,0,4,LOCATION
justice ministry,1,0,0,1,ORGANIZATION
DIY,0,1,0,1,ORGANIZATION
health ministry,1,0,0,1,ORGANIZATION
Maxine Molyneux,1,0,0,1,PERSON
University College London,0,0,1,1,ORGANIZATION
Ni Una Menos,0,1,0,1,PERSON
Buenos Aires,1,0,0,1,LOCATION
Sabrina Cartabia,1,0,0,1,PERSON
Hydrogen Council,0,1,0,1,ORGANIZATION
International Energy Agency,0,1,0,1,ORGANIZATION
Shel,0,1,0,1,PERSON
Grenell,1,0,0,14,PERSON
Democratic,1,0,1,5,ORGANIZATION
Sebastian Kurz,1,0,0,3,PERSON
Wolfgang Ischinger,1,0,0,2,PERSON
Breitbart,0,1,0,1,PERSON
Martin Schulz,0,0,1,1,PERSON
Johannes Wadepfuhl,0,1,0,1,PERSON
Sahra Wagenknecht,1,0,0,1,PERSON
Die Linke,1,0,0,1,PERSON
Chris Murphy,0,0,1,1,PERSON
Connecticut,1,0,0,1,LOCATION
Der Spiegel,1,0,0,1,ORGANIZATION
Fox News,1,0,0,1,ORGANIZATION
Southern Cone,0,0,1,2,LOCATION
US,2,0,0,2,LOCATION
Chile,0,0,1,1,LOCATION
Justin Trudeau,1,0,1,9,PERSON
International Parliamentary Union,1,0,0,1,ORGANIZATION
Sweden,0,1,1,2,LOCATION
Czech Republic,0,1,0,1,LOCATION
Ministry of New and Renewable Energy,0,1,0,4,ORGANIZATION
Rahul Munjal,0,1,0,4,PERSON
Hybrid power,0,0,1,1,ORGANIZATION
Central Electricity Authority,0,0,1,1,ORGANIZATION
Delhi,1,0,0,1,LOCATION
TERI School of Advanced Studies,0,0,1,1,ORGANIZATION
Wind-Solar,0,1,0,1,ORGANIZATION
Ram Nath Kovind,0,1,0,1,PERSON
Wind,0,1,0,1,ORGANIZATION
Siemens Gamesa,0,1,0,1,ORGANIZATION
Karnataka,0,1,0,1,LOCATION
Anantapur,0,0,1,1,LOCATION
Andhra Pradesh,0,0,1,1,LOCATION
Jamaica,0,0,1,1,LOCATION
Ralph Northam,0,0,1,15,PERSON
Republican Party,0,1,0,14,ORGANIZATION
Virginia,0,1,0,6,LOCATION
Terry McAuliffe,1,0,0,3,PERSON
Kirkland Cox,0,1,0,2,PERSON
General Assembly,1,0,0,2,ORGANIZATION
Clintons,0,0,1,1,ORGANIZATION
House of Delegates,0,1,0,1,ORGANIZATION
Arkansas,0,0,1,1,LOCATION
Potomac River,0,0,1,1,LOCATION
Jesco Denzel,0,0,1,2,PERSON
Colossi of Memnon,0,0,1,1,LOCATION
Titian,0,0,1,1,ORGANIZATION
Charles V,0,0,1,1,PERSON
Jacques-Louis David,0,0,1,1,PERSON
Oath of the Tennis Court,0,0,1,1,LOCATION
Napoleon,0,0,1,1,PERSON
Vladimir,0,0,1,1,PERSON
Guy Verhofstadt,0,0,1,1,PERSON
Rubens,1,0,0,1,ORGANIZATION
Caravaggio,0,1,0,1,PERSON
Hunt,1,0,0,5,PERSON
Christian Jankowski,1,0,0,2,PERSON
Abisag Tüllmann,0,0,1,1,PERSON
Wurst Essen,0,1,0,1,PERSON
Fiji,0,1,0,1,LOCATION
Roman,0,1,0,1,LOCATION
Venus,0,1,0,1,PERSON
Fortuna,0,1,0,1,ORGANIZATION
Peru,1,0,0,1,LOCATION
FLNG,0,0,1,2,ORGANIZATION
West Africa,0,0,1,1,LOCATION
Kribi,0,0,1,1,LOCATION
Perenco,0,0,1,1,ORGANIZATION
Gazprom Marketing,0,0,1,1,ORGANIZATION
Sanaga Sud,0,1,0,1,LOCATION
Ebome,0,1,0,1,PERSON
Chinese Communist Party,1,0,0,4,ORGANIZATION
Fran Martin,1,0,0,3,PERSON
China threat,0,0,1,1,ORGANIZATION
Daily Dispatch,0,0,1,1,ORGANIZATION
Scholars Associations,0,1,0,1,ORGANIZATION
Tiananmen Square,1,0,0,1,LOCATION
University of Melbourne,0,0,1,1,ORGANIZATION
ARC,0,0,1,1,ORGANIZATION
Geoffrey Hinton,0,0,1,1,PERSON
OECD,0,0,1,1,ORGANIZATION
Courtney Coile,0,0,1,1,PERSON
Wellesley College,0,1,0,1,ORGANIZATION
Lisa Laun,0,1,0,1,PERSON
Institute for Evaluation of Labour Market,0,0,1,1,ORGANIZATION
Group of Seven,0,0,1,1,ORGANIZATION
Quebec,1,0,0,1,LOCATION
U.S.,1,0,0,1,LOCATION
Ukraine,0,0,1,1,LOCATION
Crimea,0,0,1,1,LOCATION
"Biarritz, France",1,0,0,1,LOCATION
Cirque du Soleil,0,0,1,1,ORGANIZATION
tweet,1,0,0,1,ORGANIZATION
